Country,NobelCount
Faroe Islands,1
Saint Lucia,2
Luxembourg,2
Switzerland,25
Iceland,1
Sweden,29
Norway,13
Denmark,14
Austria,21
United Kingdom,123
East Timor,2
Israel,12
Ireland,6
Germany,105
Netherlands,19
United States,350
France,61
Hungary,9
Belgium,10
Cyprus,1
Trinidad and Tobago,1
Finland,4
New Zealand,3
Canada,22
Bosnia and Herzegovina,2
Australia,12
Latvia,1
Slovenia,1
Macedonia,1
Czech Republic,5
Liberia,2
Lithuania,1
Italy,20
Tibet,1
Poland,12
Croatia,1
Palestine,1
Costa Rica,1
South Africa,10
Portugal,2
Romania,4
Greece,2
Japan,22
Spain,8
Russia,23
Hong Kong,1
Bulgaria,1
Guatemala,2
Argentina,5
Chile,2
Belarus,1
Azerbaijan,1
Algeria,2
Egypt,4
Taiwan,1
Yemen,1
Ghana,1
Peru,1
Venezuela,1
Morocco,1
Iran,2
Mexico,3
Kenya,1
Ukraine,1
Colombia,1
"Korea, South",1
Myanmar,1
Turkey,1
Pakistan,2
Vietnam,1
India,10
Bangladesh,1
China,8
Nigeria,1
Brazil,1
