hosp_f,rea_f,dc_f,rad_f,hosp_h,rea_h,jour,rad_h,dc_h,hosp_tot,rea_tot,rad_tot,dc_tot,day
1685,525,121,432,2972,771,2020-03-18,816,218,4657,1296,1248,339,18/03/2020
2256,689,179,580,4073,1002,2020-03-19,1180,327,6329,1691,1760,506,19/03/2020
2912,905,250,777,5226,1297,2020-03-20,1587,450,8138,2202,2364,700,20/03/2020
3298,1018,297,881,5900,1453,2020-03-21,1811,525,9198,2471,2692,822,21/03/2020
3906,1176,356,1031,6954,1674,2020-03-22,2117,632,10860,2850,3148,988,22/03/2020
4882,1465,497,1270,8673,2080,2020-03-23,2567,860,13555,3545,3837,1357,23/03/2020
5843,1773,661,1609,10163,2503,2020-03-24,3281,1100,16006,4276,4890,1761,24/03/2020
7064,2127,818,2000,12072,2935,2020-03-25,4085,1388,19136,5062,6085,2206,25/03/2020
8152,2437,1002,2424,13879,3351,2020-03-26,4947,1696,22031,5788,7371,2698,26/03/2020
9288,2735,1175,2820,15701,3758,2020-03-27,5698,1995,24989,6493,8518,3170,27/03/2020
10400,3105,1374,3289,17580,4236,2020-03-28,6624,2314,27980,7341,9913,3688,28/03/2020
11470,3397,1561,3528,19311,4592,2020-03-29,7131,2606,30781,7989,10659,4167,29/03/2020
12457,3756,1818,3940,20946,5056,2020-03-30,7923,3024,33403,8812,11863,4842,30/03/2020
13459,4069,2143,4734,22672,5496,2020-03-31,9443,3523,36131,9565,14177,5666,31/03/2020
14568,4395,2472,5539,24543,5940,2020-04-01,10934,4032,39111,10335,16473,6504,01/04/2020
15477,4646,2767,6327,26131,6305,2020-04-02,12427,4503,41608,10951,18754,7270,02/04/2020
16104,4849,3105,7177,27302,6556,2020-04-03,14007,5091,43406,11405,21184,8196,03/04/2020
16360,4952,3370,8020,28003,6723,2020-04-04,15437,5532,44363,11675,23457,8902,04/04/2020
16715,5038,3594,8425,28747,6859,2020-04-05,16182,5889,45462,11897,24607,9483,05/04/2020
17109,5108,3949,9022,29569,6948,2020-04-06,17249,6494,46678,12056,26271,10443,06/04/2020
17189,5142,4302,10157,29871,7004,2020-04-07,19336,7091,47060,12146,29493,11393,07/04/2020
17247,5139,4624,11212,30217,7019,2020-04-08,21253,7632,47464,12158,32465,12256,08/04/2020
17301,5080,4882,12276,30608,6937,2020-04-09,23205,8044,47909,12017,35481,12926,09/04/2020
17374,5014,5208,13277,31108,6875,2020-04-10,24931,8598,48482,11889,38208,13806,10/04/2020
17263,4927,5402,14111,31159,6752,2020-04-11,26390,8943,48422,11679,40501,14345,11/04/2020
17406,4902,5588,14556,31665,6714,2020-04-12,27185,9253,49071,11616,41741,14841,12/04/2020
17487,4877,5786,14885,31952,6690,2020-04-13,27717,9588,49439,11567,42602,15374,13/04/2020
17460,4791,6092,15490,32131,6599,2020-04-14,28804,10129,49591,11390,44294,16221,14/04/2020
17079,4584,6364,16639,31623,6331,2020-04-15,30952,10643,48702,10915,47591,17007,15/04/2020
16775,4452,6585,17649,31172,6139,2020-04-16,32806,11053,47947,10591,50455,17638,16/04/2020
16603,4302,6827,18514,31061,5922,2020-04-17,34414,11470,47664,10224,52928,18297,17/04/2020
16210,4174,7028,19347,30515,5733,2020-04-18,35977,11834,46725,9907,55324,18862,18/04/2020
16160,4115,7153,19656,30486,5644,2020-04-19,36572,12061,46646,9759,56228,19214,19/04/2020
16068,4060,7407,20070,30462,5584,2020-04-20,37403,12505,46530,9644,57473,19912,20/04/2020
15647,3890,7636,20992,29984,5334,2020-04-21,39175,12892,45631,9224,60167,20528,21/04/2020
15406,3739,7825,21741,29627,5127,2020-04-22,40651,13225,45033,8866,62392,21050,22/04/2020
