date	Biberon 1	Biberon 2	Biberon 3	Biberon 4	Biberon 5	Biberon 6	Biberon 7	Biberon 8	Biberon 9	Total	Notes
06/03/2020	10	8	15	10	15	10	20			88	
07/03/2020	20	30	27	50	50					177	
08/03/2020	30	45	40	42	50	60	45			312	
09/03/2020	52	40	52	70	70	70	70	52		476	
10/03/2020	55	70	70	70	70	70				405	
11/03/2020	70	70	45	30	30	30	60			335	
12/03/2020	60	60	60	60	70	30	60			400	
13/03/2020	60	60	60	60	90	60	60			450	Passage � 90ml
14/03/2020	60	60	60	90	60	60	90	60		540	
15/03/2020	60	60	60	90	60	60	90	30		510	
16/03/2020	60	60	60	50	90	80	65	60		525	
17/03/2020	90	85	90	60	90	55	60	80		610	
18/03/2020	60	90	90	90	90	60	90	90		660	
19/03/2020	90	80	90	90	90	60	60	90		650	
20/03/2020	90	60	80	90	90	75	90	90		665	
21/03/2020	90	90	90	90	90	90	90	60		690	
22/03/2020	85	60	60	90	90	90	90	90		655	
23/03/2020	60	90	90	90	120	70	90	70		680	Passage � 120ml
24/03/2020	50	40	50	80	120	110	70	70		590	
25/03/2020	90	90	100	110	70	80	90	120		750	
26/03/2020	90	90	95	120	110	90	110			705	
27/03/2020	115	110	70	120	110	70	110	120		825	
28/03/2020	80	100	120	80	100	60	120			660	
29/03/2020	120	80	70	70	90	120	80			630	
30/03/2020	110	120	80	120	70	110	115	100		825	
31/03/2020	110	80	95	70	120	90	75			640	
01/04/2020	115	120	120	120	90	115	115			795	
02/04/2020	120	70	110	60	100	120	70	90	70	810	9 biberons !!
03/04/2020	120	100	100	115	110	110	115	95		865	
04/04/2020	110	120	115	120	95	120				680	
05/04/2020	120	85	100	120	110	110	80	120		845	
06/04/2020	110	120	85	120	120	120	120			795	
07/04/2020	120	120	120	115	120	120	80			795	
08/04/2020	140	140	140	150	130	100				800	Passage � 150ml
09/04/2020	150	75	140	100	105	150				720	
10/04/2020	120	145	110	150	110	110	115			860	
11/04/2020	130	70	90	120	50	140	120			720	
12/04/2020	150	100	70	105	45	115	80			665	
13/04/2020	110	110	80	55	150	150	120			775	
14/04/2020	145	150	60	50	140	130	140			815	
15/04/2020	150	150	125	145	150	120				840	
16/04/2020	110	120	140	130	120	125				745	
17/04/2020	120	130	60	150	150	120				730	
18/04/2020	80	130	80	70	40	150	100	110		760	
19/04/2020	120	120	150	120	150	50				710	Premi�re nuit
20/04/2020	100	80	80	100	110	110	70			650	
21/04/2020	145	105	120	110	120	150				750	
22/04/2020	120	120	120	130	120	110	30			750	
23/04/2020	140	90	150	90	150	140				760	
24/04/2020	115	100	145	70	150	90				670	
25/04/2020	120	100	60	120	120	150	80			750	
26/04/2020	130	80	80	60	150	110				610	
27/04/2020	140	60	135	120	120	150	120			845	
28/04/2020	100	150	110	30	140	140	80			750	
29/04/2020	130	100	120	125	100	120				695	
30/04/2020	120	145	150	135	120	30				700	
01/05/2020	130	120	150	140	100	110				750	
02/05/2020	150	120	140	150	150	150	100			960	
03/05/2020	100	145	120	150	120	70				705	
04/05/2020	150	110	150	150	90	110				760	
05/05/2020	120	150	150	150	140					710	
06/05/2020	150	150	140	150	150	130				870	
07/05/2020	150	150	120	110	100	140				770	
08/05/2020	150	130	150	40	170	140	60			840	Tests de 180ml
09/05/2020	120	105	130	150	150	140				795	
10/05/2020	150	70	150	100	100	100	150			820	
11/05/2020	155	60	120	175	170	100				780	
12/05/2020	160	50	120	150	175					655	Vaccins
13/05/2020	150	120	140	80	120	125				735	
14/05/2020	120	150	150	100	150	120				790	
15/05/2020	120	100	100	180	180	105				785	
16/05/2020	120	40	80	150	120	130	120	80		840	
17/05/2020	120	120	180	150	50	110				730	
18/05/2020	150	90	100	150	180	75				745	
19/05/2020	180	150	95	110	150	30				715	
20/05/2020	180	120	95	150	90	90				725	
21/05/2020	180	150	120	60	180	90	90			870	
22/05/2020	150	130	110	150	120					660	
23/05/2020	120	150	150	90	120	50				680	
24/05/2020	110	90	60	150	150	150	30			740	
25/05/2020	90	150	170	120	150					680	
26/05/2020	150	150	150	150	130	140	50			920	
27/05/2020	160	140	150	105	150	110				815	
28/05/2020	150	110	170	150	180	80	110			950	
29/05/2020	150	80	100	150	120	150	180	110		1040	
30/05/2020	180	165	160	180	170	180				1035	
31/05/2020	120	180	180	180	110					770	
01/06/2020	130	90	120	90	180	170				780	
02/06/2020	150	180	180	180	120					810	
03/06/2020	150	150	180	180	50					710	
04/06/2020	120	130	180	180	150					760	
05/06/2020	150	150	150	180	180					810	
06/06/2020	150	150	180	90	140					710	     
