date	chomage	cac40
31/12/1987	9.1	1000.00
31/03/1988	9.0	1016.71
30/06/1988	8.9	1320.17
30/09/1988	8.7	1418.13
31/12/1988	8.5	1573.94
31/03/1989	8.3	1640.20
30/06/1989	8.2	1727.86
30/09/1989	8.2	1906.12
31/12/1989	8.1	2001.08
31/03/1990	8.0	1971.79
30/06/1990	7.9	2035.03
30/09/1990	7.9	1540.81
31/12/1990	7.9	1505.10
31/03/1991	8.0	1816.36
30/06/1991	8.1	1772.81
30/09/1991	8.1	1880.59
31/12/1991	8.3	1765.66
31/03/1992	8.7	1942.43
30/06/1992	8.9	1900.63
30/09/1992	9.2	1736.73
31/12/1992	9.4	1857.78
31/03/1993	9.6	2031.38
30/06/1993	9.9	1971.87
30/09/1993	10.2	2114.63
31/12/1993	10.5	2268.22
31/03/1994	10.7	2081.94
30/06/1994	10.8	1892.00
30/09/1994	10.6	1879.25
31/12/1994	10.4	1881.15
31/03/1995	10.1	1859.48
30/06/1995	9.9	1858.82
30/09/1995	10.0	1788.35
31/12/1995	10.1	1871.97
31/03/1996	10.3	2055.63
30/06/1996	10.5	2118.75
30/09/1996	10.7	2132.81
31/12/1996	10.7	2315.73
31/03/1997	10.8	2581.82
30/06/1997	10.8	2858.26
30/09/1997	10.7	3008.26
31/12/1997	10.5	2998.91
31/03/1998	10.3	3875.81
30/06/1998	10.2	4203.45
30/09/1998	10.3	3197.95
31/12/1998	10.3	3942.66
31/03/1999	10.3	4197.88
30/06/1999	10.2	4536.61
30/09/1999	9.9	4591.42
31/12/1999	9.5	5958.32
31/03/2000	9.0	6286.05
30/06/2000	8.7	6446.54
30/09/2000	8.3	6266.63
31/12/2000	8.1	5926.42
31/03/2001	7.9	5180.45
30/06/2001	7.8	5225.33
30/09/2001	7.7	4004.57
31/12/2001	7.6	4624.58
31/03/2002	7.8	4688.02
30/06/2002	7.9	3897.99
30/09/2002	7.9	2777.45
31/12/2002	8.0	3063.91
31/03/2003	8.3	2618.46
30/06/2003	8.5	3084.10
30/09/2003	8.4	3134.99
31/12/2003	8.8	3557.90
31/03/2004	8.9	3625.23
30/06/2004	8.8	3732.99
30/09/2004	8.9	3640.61
31/12/2004	8.9	3821.16
31/03/2005	8.7	4067.78
30/06/2005	8.8	4229.35
30/09/2005	9.0	4600.02
31/12/2005	9.1	4715.23
31/03/2006	9.1	5220.85
30/06/2006	8.9	4965.96
30/09/2006	8.9	5250.01
31/12/2006	8.4	5541.76
31/03/2007	8.4	5634.16
30/06/2007	8.1	6054.93
30/09/2007	8.0	5715.69
31/12/2007	7.5	5614.08
31/03/2008	7.1	4707.07
30/06/2008	7.3	4434.85
30/09/2008	7.4	4032.10
31/12/2008	7.8	3217.97
31/03/2009	8.6	2807.34
30/06/2009	9.2	3140.44
30/09/2009	9.2	3795.41
31/12/2009	9.6	3936.33
31/03/2010	9.4	3974.01
30/06/2010	9.3	3442.89
30/09/2010	9.3	3715.18
31/12/2010	9.2	3804.78
31/03/2011	9.1	3989.18
30/06/2011	9.1	3982.21
30/09/2011	9.2	2981.96
31/12/2011	9.3	3159.81
31/03/2012	9.5	3423.81
30/06/2012	9.8	3196.65
30/09/2012	9.9	3354.82
31/12/2012	10.1	3641.07
31/03/2013	10.4	3731.42
30/06/2013	10.5	3738.91
30/09/2013	10.6	4143.44
